track_id,track_length,n_points_used,at_min_points,D_um2_s,D_stderr_um2_s,intercept_um2,intercept_stderr_um2,r2_normal,D_negative,intercept_negative,alpha,alpha_stderr,n_points_used_alpha,D_alpha_um2_s_alpha,r2_anomalous,alpha_corrected,alpha_corrected_stderr,n_points_used_alpha_corrected,D_alpha_corrected_um2_s_alpha,r2_anomalous_corrected,offset_um2
0,106,10,false,0.08746702962391555,0.0035251436641488385,-0.012003387700756114,0.0028531685918161643,0.9871723280312135,false,true,1.2612850086209975,0.03049204395504456,10,0.10433574787870592,0.9953461675636729,1.3112315099496612,0.024675554652823492,10,0.11100879043999638,0.9971748831815218,0.0007798350551760711
1,200,10,false,0.060108480497451176,0.00031253356701342605,-0.0014323995563670896,0.0002544211925545662,0.9997837690245902,false,true,1.0699661006889152,0.008113171449550366,10,0.06494082743016547,0.9995402396228111,1.0824755763468226,0.009593060668587653,10,0.06588562460770783,0.9993720929281311,0.00022596643238702023
3,68,10,false,0.06370204513634323,0.0020597869513286566,0.001582192758097644,0.0016549261474919853,0.991705114524501,false,false,1.0511855593945958,0.032107767487527715,10,0.0719517499131932,0.9925916405384361,1.0632653899487332,0.03382146291854991,10,0.07297680050217509,0.991970469483787,0.0002439366921266226
9,200,10,false,0.0446169511065226,0.0003270653242704021,0.00034115052921758417,0.00026625092030689595,0.9995702928767191,false,false,0.9853761916887088,0.004223184009117603,10,0.044065842882654326,0.9998530728507865,0.9901136661559035,0.00422547648721901,10,0.04429019509431957,0.99985431729991,0.00008060002546006223
12,200,10,false,0.039969967185003306,0.0018862172818049742,0.004466971595583262,0.001535494746499464,0.982496026568523,false,false,0.9165891811968804,0.030922067176928972,10,0.04075362632394274,0.9909772019837088,0.921665523198504,0.03159197863486028,10,0.04097209802554491,0.9906881934699767,0.0000951530683012873
13,10,3,true,-0.010333478007226305,0.025429975494238286,0.01771933776438368,0.006987646426676891,0.1417197211948119,true,false,-0.1623019983736157,0.4193356391040497,3,0.0023219208559795645,0.1302867555708831,-0.17334095042278858,0.442483550866554,3,0.0021284134820859805,0.13304661571147447,0.0007807382699067533
15,186,10,false,0.05712453512316956,0.0008709671292447974,0.000017607604900049266,0.0007086824279320278,0.9981437295900303,false,false,1.0612862727951813,0.020523958195275315,10,0.0632269232131978,0.9970170243374974,1.0660046539619372,0.021151308702362655,10,0.06357417274303034,0.9968603546216706,0.00008389369992512362
16,119,10,false,0.05767099692911544,0.0007774884098129759,-0.0025895164177435325,0.0006301458309525667,0.9985481160207987,false,true,1.0794112950370855,0.00886933210071687,10,0.06110749599994466,0.9994601620742833,1.1104091235345686,0.009945743963976838,10,0.06334671675233085,0.9993586134420436,0.0005054625000031025
17,25,6,false,0.061054693710652724,0.001827863806915898,-0.0014519357253859834,0.0009097510705057729,0.9964276392395954,false,true,1.1417941462187566,0.03868767531919255,6,0.07751140347552105,0.9954286992619358,1.151386632262257,0.04021360452111114,6,0.07868274009591304,0.995144323993849,0.00012010202291492234
20,84,10,false,0.06191530046623527,0.00047820117345725137,-0.002430519369172391,0.00038574001194116066,0.9995230113013921,false,true,1.134411451482818,0.018783751444544167,10,0.07249374281630935,0.997811422550459,1.1460495848887795,0.020527557618840682,10,0.07352401709592958,0.997439973274161,0.00018187309091452893
21,63,10,false,0.08329218986210506,0.0029968309387616862,-0.003502212896871754,0.0024036833190261954,0.9897498234358151,false,true,1.2145104224007792,0.03742320162192624,10,0.11031546907513565,0.9924615326811829,1.2388184374899245,0.04067596014183079,10,0.11377949188854404,0.9914489265021835,0.00041932508989191657
24,82,10,false,0.05666176380797459,0.002018075405133641,0.0012247412460069866,0.0016272175772422607,0.9899538527963098,false,false,1.0763612635361706,0.0374207863476087,10,0.06637377598398138,0.9904231984026663,1.0814999462547759,0.03820782930000577,10,0.06678215622361007,0.9901138578377957,0.00008694007500608624
25,200,10,false,0.050450372382704445,0.00070044609524836,0.001141083181528134,0.0005702054104979432,0.998460281014044,false,false,1.0011790726213243,0.01577268160117826,10,0.05234124384283483,0.9980183995977823,1.0033907562332578,0.016078525151438323,10,0.052469833799700216,0.9979500134930708,0.00004069751577270084
26,144,10,false,0.04710916320002348,0.0010194613317670567,-0.0007156328535481098,0.0008278422686238146,0.996267526808164,false,true,1.040867563766346,0.01599604490751477,10,0.04922394858818412,0.9981141615596283,1.048339759951934,0.01657373685732217,10,0.04964225625841729,0.9980044655247591,0.00011370583181221702
27,191,10,false,0.06127285471443479,0.0011994103557400044,-0.0024826068291870463,0.0009761018273161703,0.9969439525757877,false,true,1.0626652390609763,0.01135725585810142,10,0.06366663525241742,0.9990870495922166,1.0727267693086404,0.011660736506672391,10,0.06440222362083721,0.9990556056612173,0.0001856452321294558
28,64,10,false,0.03596034332077088,0.0015832796811930294,0.003565264781596645,0.001270373004630405,0.9847287626130468,false,false,0.8671444496270065,0.03575087406054897,10,0.0332385846280533,0.9865842609884529,1.0058348639483576,0.05544063378205487,10,0.038621753180472465,0.976271856523616,0.0020995343402241324
29,200,10,false,0.04715854543079347,0.0010228927592448947,0.0011812288579094135,0.0008326964624933776,0.996250288509479,false,false,0.9998254442595699,0.014572875500578704,10,0.04894742943044253,0.9983033406643051,1.0024426512109181,0.014810186869506647,10,0.049088319078316366,0.9982568518850635,0.00004599109576650909
32,200,10,false,0.05738126632513997,0.0006368033704368233,-0.0017420837222854515,0.0005183963901142937,0.9990156880779691,false,true,1.070187124583717,0.008836850506079186,10,0.06139083999042068,0.9994548340377125,1.0750773483963405,0.00936841233297779,10,0.06173761013783746,0.999392874035005,0.00008424446551995283
33,54,10,false,0.04713583556231331,0.0015403328023840086,0.0006165471807350127,0.0012305527404049652,0.9915292430199545,false,false,0.9382781314753104,0.020353921289205552,10,0.04340430471104553,0.9962494834257336,1.0559734065118334,0.021135478043807162,10,0.04927649272280436,0.9968053848234139,0.0020359238950829325
37,200,10,false,0.06189496364298523,0.0019491294244383152,-0.0054441845153749445,0.0015867090288816503,0.9921290188801843,false,true,1.1326337707472458,0.0179744315811416,10,0.06623749958067417,0.9979893004082134,1.1402163783229304,0.017191606406750423,10,0.06682612095331496,0.9981846546992312,0.00011930601222376121
38,200,10,false,0.04073025558742853,0.0006749223256590329,0.0021508571156647165,0.0005494275210716673,0.9978081524064295,false,false,0.9237824750851451,0.017942964383774875,10,0.03885275356434756,0.996990944813407,0.9402422018455617,0.019697707949312318,10,0.039525755877768284,0.9965011951599347,0.00029254626992356264
39,55,10,false,0.05044037504476827,0.0024599132630225185,0.0011703366762192316,0.0019662079171255606,0.981328155560416,false,false,1.004881122174335,0.02903620181356415,10,0.0525040855369245,0.9933648762933076,1.0162082673253048,0.029279045772455457,10,0.053156529554956256,0.9934027380366973,0.00021251357642502745
40,200,10,false,0.06302539775508323,0.0005460446876944784,-0.0007502151248043627,0.00044451334286709366,0.9993998574041908,false,true,1.072356826800643,0.020165827978538272,10,0.06973471915123108,0.9971789125599783,1.0803184606736709,0.021336259196002183,10,0.07038870060089635,0.9968892160664609,0.00014889596995996973
