particle,track_length,n_disp,normal_converged,D_median_um2_s,D_lo_um2_s,D_hi_um2_s,log10_D,log10_D_stderr,sigma_normal_median_um,sigma_normal_lo_um,sigma_normal_hi_um,log10_sigma_normal,log10_sigma_normal_stderr,anomalous_converged,D_alpha_median_um2_s_alpha,D_alpha_lo_um2_s_alpha,D_alpha_hi_um2_s_alpha,log10_D_alpha,log10_D_alpha_stderr,sigma_anom_median_um,sigma_anom_lo_um,sigma_anom_hi_um,log10_sigma_anom,log10_sigma_anom_stderr,alpha,alpha_stderr
0,106,105,true,0.043424685437474596,0.038934146096720496,0.04843314916061444,-1.3622633188397306,0.04740602696562718,0.013127736633501705,0.011430390234625047,0.015077129090180696,-1.8818101446122026,0.06012879788391551,true,0.08647946918609745,0.06118395451502549,0.12223300455142315,-1.0630869847607622,0.15027547183948806,0.01417901831015453,0.012199285698051532,0.016480027209446226,-1.8483538366594034,0.0653117610655611,1.2191921776973156,0.09621835231178902
1,200,199,true,0.04865363035078759,0.045211495802508155,0.05235782856314517,-1.3128847487668225,0.03186637551874567,0.007322221255278605,0.006330228755490617,0.008469666134063495,-2.135357152196525,0.06322344340188561,true,0.06778122058583452,0.05285762244908604,0.08691828446371973,-1.1688906147709965,0.1080017606834894,0.007454805436644909,0.006426327419822692,0.00864788244788247,-2.1275636867373637,0.0644734642849585,1.0986776892303285,0.0681918489434901
3,68,67,true,0.05353527115419834,0.04722621387147739,0.060687169743338175,-1.271359993297356,0.054456877146163804,0.007657788130826275,0.006610859894371523,0.008870513063898276,-2.115896653512737,0.06384539334174234,true,0.11102217925717194,0.06913442458357599,0.17828924390787287,-0.9545902521430923,0.20571539536127567,0.007726989656153731,0.006662152555299915,0.00896202370790936,-2.111989669129161,0.06439575757927107,1.2150605411785294,0.1244946394058154
9,200,199,true,0.045781499591380635,0.0426036907613607,0.0491963411474317,-1.3393099859385533,0.03124279036102178,0.004493520466684199,0.003867488530062736,0.005220888446741494,-2.347413275883262,0.0651576897447763,true,0.045592772166177034,0.03636876846440445,0.057156207415476105,-1.3411040006940338,0.0981674042773462,0.004493759334480983,0.0038673895579113033,0.005221577152714156,-2.3473901901513456,0.06519188956504456,0.9987716189066496,0.06324898692651464
12,200,199,true,0.04854518645666877,0.04517473596322987,0.05216710353395155,-1.3138538264963724,0.031250550622564884,0.004845152100607221,0.0041749432894472235,0.005622950361351327,-2.3146925848841,0.06465683451721599,true,0.054035574035589534,0.042630797080102076,0.06849140671400945,-1.2673202305352655,0.1029563166146055,0.004857213447609052,0.0041834166084118085,0.005639534544132068,-2.31361281127229,0.06485607247961421,1.0316052420031954,0.06586792295284746
13,10,9,true,0.10039915403179552,0.06997147442547665,0.14405856405149686,-0.9982699465622238,0.15680902805926517,0.014215566417739963,0.011320435517244166,0.017851109020439074,-1.8472358312110986,0.09890103353580564,true,0.014122292873646518,0.0052819778919777315,0.03775842309221995,-1.8500947861786083,0.42710863471121524,0.014062316293718248,0.01122728399958822,0.017613230372708705,-1.8519431380126925,0.09778215351323627,0.4487451459575844,0.2782736163884413
15,186,185,true,0.047686054562899545,0.044266945618077966,0.05136925008097196,-1.3216086086301773,0.032311834310266595,0.0045219932144016295,0.003899782825954519,0.005243477276478692,-2.344670093682419,0.06428948393613984,true,0.07758623871954329,0.05990918317773834,0.10047916061193753,-1.1102153016561014,0.11229130003243933,0.0045692323567027805,0.00393426949728232,0.0053066736643134094,-2.3401567564402423,0.06497913780515073,1.1432824713980025,0.06897044649512234
16,119,118,true,0.04368999813107349,0.039568465032818724,0.048240838635261754,-1.3596179738682406,0.043032822989984856,0.010667088559028023,0.009260621570826777,0.012287164253056483,-1.9719540993465297,0.06140576324576246,true,0.07253222075321913,0.05181193946380691,0.10153881714983311,-1.1394690253356627,0.14610112523256769,0.010975864855839455,0.009489305261690438,0.012695303398026742,-1.9595612490065397,0.06320433330366522,1.1537054413148005,0.09207773326501767
17,25,24,true,0.04484213443505862,0.03645111660510941,0.055164757844757224,-1.3483137236572127,0.08997543976533946,0.0054557531379278105,0.004698955489779042,0.006334438018566717,-2.2631452888759993,0.06485337987736334,true,0.08969532256087932,0.04458571161339114,0.18044459980950103,-1.047230203990078,0.3035740933890497,0.005467008321543012,0.0047072280123083895,0.006349422613408437,-2.2622502650516547,0.06498449944417019,1.2061835651783324,0.18406948923791658
20,84,83,true,0.04208948486252372,0.03761184000193747,0.0471001880232756,-1.3758263895936844,0.04884903042338902,0.006583807667870821,0.005687352746218244,0.007621564081168962,-2.181522864612682,0.06356697008834607,true,0.09799360790383181,0.06463852254937072,0.14856074692417942,-1.0088022522935483,0.18070632654865723,0.006685517961481698,0.005762717548703926,0.007756089038815874,-2.174864940070032,0.06450772614514391,1.2494568157214139,0.10728408364901756
21,63,62,true,0.04709059374018871,0.0412492015587126,0.05375919860284222,-1.3270658337351913,0.05751861973040992,0.009784231467907153,0.008478841329568575,0.011290597582447697,-2.0094732816416676,0.062190210270918145,true,0.15004344924879792,0.0924205556102185,0.24359339233389593,-0.8237829607003245,0.2104484642348569,0.010136731588065447,0.008746421694137075,0.011748041757163586,-1.9941020530975664,0.06406753460456806,1.3486506689222761,0.12096615336723592
24,82,81,true,0.04476700976478994,0.04001121612784443,0.05008808422311673,-1.3490419135688019,0.04877633461267427,0.00460629458832309,0.00397184507839852,0.005342088982727855,-2.336648290863315,0.06435940861565523,true,0.10450642268038368,0.0677130353129891,0.16129231736501362,-0.9808570181755544,0.1884706998519179,0.004634555267518532,0.003992692531428249,0.0053796034527107345,-2.3339919344708173,0.06474219812108056,1.24762715606261,0.11148848592575514
25,200,199,true,0.04881452937335289,0.04545580473492731,0.052421429822602894,-1.3114508934172215,0.030959755804184304,0.003170683837584262,0.002731516366532213,0.003680459733316961,-2.4988470611700335,0.06474913179253214,true,0.06473700177820808,0.05008039171433553,0.08368303952447075,-1.1888474183306064,0.11148486452794086,0.00317869487640343,0.0027374516578791393,0.0036910610231932436,-2.497751158104127,0.06490238341818567,1.0827390604860847,0.07019843930963139
26,144,143,true,0.04089440309722989,0.037546547606672226,0.044540771689526505,-1.3883361264747391,0.03709386359125558,0.005297149821568496,0.004564714817396016,0.00614710827612011,-2.275957743552923,0.06462860647162356,true,0.05377684830380847,0.04111730234791461,0.07033412330946615,-1.2694046540348698,0.11657073253254846,0.005342288675814589,0.004597173753233533,0.006208172635559502,-2.2722726481517816,0.06523643333948183,1.081261872528884,0.0730953759346541
27,191,190,true,0.04954486427299572,0.04598869028925828,0.05337602702729974,-1.3050013569909154,0.03234760152044303,0.006645263634960602,0.005742148160155453,0.007690419603686139,-2.177487784783336,0.06343782115094877,true,0.07296973085335132,0.05660799700955562,0.09406059041290092,-1.1368572556264598,0.1102649560864904,0.0067387902244333536,0.005810657984348507,0.007815172362792241,-2.1714180628134936,0.06435662359276599,1.1147158565109925,0.06884653614011259
28,64,63,true,0.039093304727709374,0.03338028913133851,0.04578409936835265,-1.4078976152074625,0.06861229068774445,0.020215478735197693,0.017732716051347575,0.02304585373779636,-1.694315969413523,0.05690877068925783,true,0.06254490751267812,0.03894386871968734,0.10044881477817558,-1.2038080453499036,0.20575286211028002,0.020614678862036155,0.018060698093698455,0.023529820518574225,-1.6858234263019605,0.05744204076697028,1.1518378961645634,0.13606648988242076
