track_id,track_length,n_points_used,at_min_points,D_um2_s,D_stderr_um2_s,intercept_um2,intercept_stderr_um2,r2_normal,D_negative,intercept_negative,alpha,alpha_stderr,n_points_used_alpha,D_alpha_um2_s_alpha,r2_anomalous,alpha_corrected,alpha_corrected_stderr,n_points_used_alpha_corrected,D_alpha_corrected_um2_s_alpha,r2_anomalous_corrected,true_D_um2_s
11,200,10,false,0.02270388828450983,0.0003911939217375672,0.0013420049595636273,0.00031845547036646435,0.9976305723576391,false,false,0.8358369459788366,0.023552915066358475,10,0.018835454336978023,0.9936877220424918,1.1077732020423343,0.011964452620679017,10,0.024959450269977437,0.9990676717332176,0.02
228,200,10,false,0.061338315102955565,0.000555883261605396,0.004409970830480964,0.00045252253602791776,0.9993433888694505,false,false,0.8594749304353313,0.012238458165897302,10,0.05392772186144417,0.9983805293633864,0.9436014397047878,0.011307405550317982,10,0.05857008693876035,0.998852533248865,0.07
295,200,10,false,0.08525656511881405,0.0014589590091437462,0.007619043739486458,0.0011876807171200088,0.9976627548696801,false,false,0.8681967286760356,0.0061646234315080655,10,0.07791692036387096,0.9995968267858236,0.9277825105276843,0.012154886612318505,10,0.0826778809978885,0.9986287913924189,0.1
250,200,10,false,0.08709865241544103,0.001836683954711784,0.00986241591769896,0.0014951716277040242,0.9964551835668023,false,false,0.8167130060787482,0.011853301496816935,10,0.07535854005302699,0.9983177192118933,0.8668082313924171,0.014055672381810857,10,0.07892701744665291,0.9979008929067579,0.1
74,200,10,false,0.028234821000070368,0.00043060839917519406,0.0026717172643724095,0.000350541234623477,0.9981427192991741,false,false,0.7839171384137181,0.0261981533854959,10,0.022527180214835667,0.9911441985156263,0.9475229557235134,0.014385017042827311,10,0.026122541861630003,0.9981595194992341,0.03
289,200,10,false,0.11463810417301729,0.0008350038760536422,-0.00011757045959399216,0.0006797435679097042,0.9995757472270557,false,true,0.9894329820545585,0.010594084149585984,10,0.11238338308099041,0.9990836826218595,1.0512452493865958,0.0067605692799632845,10,0.12022492591604939,0.9996692462616054,0.1
111,200,10,false,0.01875654734078721,0.0006125705656304536,0.004788936507804567,0.0004986694239624828,0.9915392984958424,false,false,0.664369697049632,0.01718714655323859,10,0.014801917233014503,0.9946745181510592,0.8298647358277708,0.013756972494370003,10,0.01675998949509708,0.9978063498405316,0.03
100,200,10,false,0.043353237172506776,0.0002607744487324558,0.0005832279100161055,0.00021228614535161538,0.9997106314644973,false,false,0.9471176921960456,0.011480575335969604,10,0.040526080471450114,0.9988259159285707,1.1158326888311072,0.009914348103273464,10,0.04882760629585269,0.9993688305737257,0.03
351,200,10,false,0.11332356341703684,0.0006834058957138688,0.007929342250580665,0.0005563336592861868,0.9997091422445419,false,false,0.8504069344888602,0.012993835245277282,10,0.09786744907861931,0.9981357646874893,0.892164960972546,0.009756432485639935,10,0.10175875609747666,0.9990442012633122,0.15
189,200,10,false,0.09365319905366065,0.001649588561094613,-0.0001654483705384127,0.0013428646815400568,0.997524177776494,false,true,1.0297793001408968,0.013935458857019687,10,0.09798046020062158,0.9985371209076866,1.115957686873904,0.0185908181216475,10,0.10816373742797807,0.9977847212346979,0.07
320,200,10,false,0.12882194901591698,0.0015726898699846524,0.009391355715777478,0.0012802645042693673,0.9988090900578932,false,false,0.8468072715102452,0.01372247148608491,10,0.1110638898127231,0.9979036002787721,0.8832230609614921,0.012400950380658344,10,0.11490733389883581,0.9984253837084774,0.15
358,200,10,false,0.08033099597127098,0.0059401982396589705,0.022553017178815332,0.004835680002588797,0.9580886863647051,false,false,0.7342625682454369,0.030808787948284174,10,0.07334713331185543,0.9861112756102715,0.7740323470548299,0.035802446848109744,10,0.07588394421918078,0.9831722216433195,0.15
182,200,10,false,0.08112394615476792,0.001596358028068938,-0.0008497492818999871,0.0012995318138992326,0.996911773274653,false,true,0.9493063941603689,0.02474960015030791,10,0.07328430234639707,0.9945917296604166,1.0307606265100009,0.01727394431452346,10,0.07977078174653764,0.9977582730478437,0.07
290,200,10,false,0.07554583443662108,0.0010319104589553152,0.007354960219515227,0.0008400374144952649,0.9985095918675817,false,false,0.8370544428663238,0.006990770953949127,10,0.06620846295399267,0.9994423130865278,0.8983072080382266,0.004452458136581712,10,0.07013791923476102,0.999803503616376,0.1
350,200,10,false,0.14557734387594295,0.001109247825152611,0.0029553001041653947,0.0009029946997717612,0.99953574359347,false,false,0.9566491246393579,0.00530017955149535,10,0.13980628902452358,0.9997544956677267,1.0009274876720176,0.008048541333103936,10,0.1465848836961925,0.9994829952635296,0.15
247,200,10,false,0.07959844297871804,0.001031171478282087,0.003963469151937381,0.0008394358396117918,0.998659212542307,false,false,0.885983413513231,0.01087257648811119,10,0.07094698146430689,0.998796680824278,0.9549862625144006,0.009445377274161497,10,0.07602927690321953,0.9992180218543569,0.1
277,200,10,false,0.12418619028355857,0.0029282083659172295,-0.002094299773898836,0.0023837383984834978,0.9955718741878952,false,true,0.949870437631573,0.030153012791289027,10,0.11109560710796557,0.9920028436861503,1.0008748044112548,0.026043862931696946,10,0.116997253163347,0.9946124024578019,0.1
160,200,10,false,0.051145315673146445,0.0005559049773907502,0.0020924837170071212,0.0004525402139882722,0.9990557888473393,false,false,0.8764449303888635,0.019378428150090207,10,0.0442580295620206,0.9961043256973746,0.9858827214142444,0.009506182826254247,10,0.04933677413436835,0.9992567603045475,0.05
167,200,10,false,0.058623448932543266,0.00037566601624767945,0.0019589993744850796,0.0003058148178107594,0.9996715960078743,false,false,0.9009625392107314,0.020020646102519205,10,0.052251584567307864,0.9960652198431837,1.000544528225247,0.012079417459543888,10,0.05778271368313486,0.9988353296458886,0.05
293,200,10,false,0.09315391623737528,0.0003918129420286295,0.0024357382094865342,0.0003189593902563262,0.999858491070618,false,false,0.9267413585204272,0.013012539497090745,10,0.08579533609313203,0.9984252465355699,0.9913170093854876,0.007827100577883493,10,0.09169539510001054,0.9995015172229846,0.1
73,200,10,false,0.02909002188587044,0.0006522024823218104,0.002617110877860036,0.0005309321968997815,0.9959948032205171,false,false,0.8113622161422939,0.020447570527331517,10,0.02417363085742592,0.9949447478614811,0.9882008646113072,0.019823658701889183,10,0.028722479330458527,0.9967909886362197,0.03
165,200,10,false,0.039746165938440214,0.000581657444601674,0.004455136653149876,0.0004735042770859942,0.9982896277369386,false,false,0.8118132186391114,0.010125027457909276,10,0.034043411850111824,0.9987571175478918,0.9303230553148636,0.013871383201331544,10,0.03811867117644217,0.9982246244394739,0.05
114,200,10,false,0.019493696261144822,0.00080545102671652,0.005255938403047503,0.0006556857643157208,0.9865262488708408,false,false,0.6809793153954631,0.008268097067395138,10,0.01608228149053673,0.9988220647811215,0.8517193533607238,0.02460280696848252,10,0.018530469920981067,0.9933690326255226,0.03
131,200,10,false,0.053556438453358,0.0008095455313792953,0.0009394674810931598,0.0006590189383142076,0.9981754488050639,false,false,0.9077354475982502,0.021322901802789833,10,0.04716652173610695,0.9956050785884126,1.0232037633556492,0.011563536192745923,10,0.05310587576705005,0.9989792872466629,0.05
31,200,10,false,0.014713425697668724,0.00029322232348654933,0.0027658125252998443,0.00023870067442024193,0.9968327761656253,false,false,0.7139531169306449,0.020423262957101992,10,0.011714909066407623,0.9934962016381604,1.0079431191139205,0.01691558121377512,10,0.015314028905530717,0.997751906584069,0.02
249,200,10,false,0.0915691665837313,0.0011826090698612965,0.00039636788323458113,0.0009627151821008459,0.9986674155078965,false,false,0.9425242452279277,0.017341773863519462,10,0.08375833474202686,0.9972990448903872,1.0123500740489424,0.010957369875365336,10,0.0900799147712465,0.999063658323361,0.1
171,200,10,false,0.04450776155315823,0.0012264232038669252,0.004982260741457258,0.0009983825324305427,0.9939623334210751,false,false,0.829655633858339,0.018310112559821578,10,0.039231891712755255,0.9961186095267904,0.9359720471606691,0.018660306040267624,10,0.04342306834483397,0.9968302648996181,0.05
275,200,10,false,0.08712148618104201,0.0012529737448818408,0.005425375954894741,0.0010199962757878875,0.9983480178972896,false,false,0.8825252340631442,0.008988647334097776,10,0.07857607270359344,0.999170790755266,0.9438088333749338,0.009561607347730912,10,0.08353698242764666,0.9991795969255507,0.1
119,200,10,false,0.030155059874132632,0.0006076769087713759,0.0034476101698433363,0.0004946856918279248,0.9967617793265222,false,false,0.8207339602847784,0.009991659902721692,10,0.026282959407460126,0.9988157433171746,0.9886847043449561,0.01462055150763926,10,0.031028290498658916,0.9982536038982802,0.03
211,200,10,false,0.05488927653435231,0.0009617648490865638,0.0062494487673649445,0.0007829346530676951,0.9975498797770014,false,false,0.8290429345241613,0.010019437641121039,10,0.048528409097626096,0.9988328801223141,0.9157586862071534,0.018617061981839864,10,0.05279872235534046,0.9967045356535701,0.07
352,200,10,false,0.14051899346575533,0.002805638491420031,0.008793108612671836,0.002283959120568364,0.9968209270367209,false,false,0.9162948054920128,0.008570880510617872,10,0.13410577628722098,0.9993005341135048,0.9565391187531568,0.012588263845600633,10,0.13982054774826225,0.998616386223196,0.15
20,200,10,false,0.016087718034471916,0.0004649873692817462,0.002272907288236297,0.00037852779189759863,0.9933611845906539,false,false,0.7258143800487457,0.02670716640431498,10,0.012355526021125475,0.9892844209355584,1.0156192978763838,0.02396557781501877,10,0.016161749929206222,0.995565204314206,0.02
292,200,10,false,0.08431634963515879,0.0011290576278788784,0.006188408135714081,0.0009191210751945685,0.9985675612300785,false,false,0.8649337424769953,0.008629722053973514,10,0.07499419971091396,0.9992042581494792,0.9251574914495384,0.00927916671051113,10,0.07955190057132985,0.9991958682100813,0.1
268,200,10,false,0.1586876670221853,0.0014755560047349813,-0.00873080430584271,0.0012011916735638123,0.9993087824820653,false,true,1.1198763386889787,0.006115938782510467,10,0.17643674152544564,0.9997614538030184,1.183169268784281,0.008766309694864282,10,0.19032660882940702,0.9995610256365948,0.1
227,200,10,false,0.057801469069044785,0.0009830752711374468,0.0040201423175741866,0.0008002826232196302,0.9976912233089057,false,false,0.8116389159341132,0.028076415586819933,10,0.046698426367814856,0.9905177835582188,0.8888489959251329,0.022871309873480735,10,0.04997619745375816,0.9947310779045722,0.07
143,200,10,false,0.046530599340085695,0.0013369058093343252,0.006467877294112369,0.0010883220435946154,0.9934392178780044,false,false,0.8163503189244795,0.00939436753465694,10,0.041559219203541165,0.9989416919810997,0.9145763408849921,0.019377075156227292,10,0.04568958413855292,0.9964217579767337,0.05
263,200,10,false,0.08921124670460587,0.00101013474220872,0.0022074915221385904,0.0008223106663691631,0.9989753768352602,false,false,0.9338579656728466,0.01177570345829877,10,0.08300491822641855,0.9987295722769677,1.0036798247830647,0.010077113823733982,10,0.08931054504233811,0.9991942100709437,0.1
354,200,10,false,0.15005480767508794,0.0008401990010558897,0.0008749915787586198,0.0006839727133137402,0.9997492473303505,false,false,0.9799389762653951,0.004974733727593309,10,0.1464665555161391,0.9997938695870743,1.0254844593723305,0.004672796246979681,10,0.1538820217750151,0.9998339215142864,0.15
98,200,10,false,0.025765400400821797,0.0005922588985017889,0.004030072682956002,0.00048213450061639545,0.9957907234437408,false,false,0.7530210324553598,0.01696730034184789,10,0.021113240963799438,0.9959547916578236,0.9127908579641163,0.01317645091240123,10,0.02432703430843289,0.9983357409023675,0.03
285,200,10,false,0.12897418866244573,0.004544298148756841,-0.009401756819191495,0.003699333052057591,0.9901660937540853,false,true,1.0619933943931639,0.030212480323301698,10,0.12623706719876,0.9935669599040126,1.1300398923523451,0.023425003895092302,10,0.13624767517913436,0.9965741259863994,0.1
141,200,10,false,0.03529757745763608,0.0006910193409360015,0.005203605175159264,0.0005625314633536797,0.9969433123830772,false,false,0.7466233586650921,0.01791914985631176,10,0.028311004575824653,0.9954130398250706,0.8550109549479775,0.013872106524447668,10,0.03101085727779371,0.9978985558470224,0.05
39,200,10,false,0.021159731681817964,0.0002701343511889964,0.0013585134269881998,0.00021990567104910686,0.9986978428069381,false,false,0.8288084613810204,0.02650011432902285,10,0.017463659460752817,0.991887780933034,1.1181105021728355,0.008974726183666485,10,0.023520841549536733,0.9994848435274473,0.02
305,200,10,false,0.09216187672018243,0.0026795142164136487,0.015978981047943586,0.0021812863460441948,0.993283043740665,false,false,0.7643946881250367,0.015277329606133976,10,0.07866929933269085,0.9968146001617811,0.8040442581975914,0.01866375272430336,10,0.08139763640558914,0.9957079970079481,0.15
197,200,10,false,0.09440276749575428,0.0025714806649722796,-0.004014339296660584,0.002093340512717314,0.9940991204400325,false,true,1.0220687686223084,0.019289964171618837,10,0.09134081063828484,0.9971584404414928,1.1085618620528384,0.011799193569590808,10,0.10062180199171775,0.9990945148201001,0.07
166,200,10,false,0.03255720123342313,0.0018928890486966618,0.007424882879869069,0.0015409259675527732,0.973669580497792,false,false,0.7509431616398883,0.018390362014703884,10,0.02890034555707174,0.9952249528246884,0.8674410950659353,0.03119886742159534,10,0.032135841845002296,0.9897572552061671,0.05
155,200,10,false,0.03617344965001681,0.0011140105733737405,0.007763906931162134,0.0009068718643715075,0.9924698077723428,false,false,0.715660530604559,0.012177495325588128,10,0.029816973191639135,0.9976890688228018,0.8090369901486211,0.01858001662055899,10,0.03218583435625906,0.9957983793260679,0.05
314,200,10,false,0.16000827400796253,0.004818731250037358,-0.007692842723154952,0.003922738165215365,0.992796710877685,false,true,1.0112275720877857,0.02728131743716151,10,0.15052954783520148,0.9942110281740107,1.0582489483483228,0.02296230658560717,10,0.15835443214147227,0.9962475700517972,0.15
29,200,10,false,0.01626741045769432,0.0002622964648949745,0.003302572013011137,0.0002135251583986162,0.9979244381942114,false,false,0.6633327413033941,0.028554870224065578,10,0.012086718347681446,0.9853918086806357,0.8733831900589357,0.01946115834757607,10,0.014182332207623912,0.9960436375828985,0.02
81,200,10,false,0.03233968966052015,0.00025430311368028106,0.0025942791777625327,0.000207018087916608,0.999505567666184,false,false,0.8452814449820567,0.01325697159594587,10,0.028074350012248322,0.998036087149408,1.0149707225838773,0.008625814840257841,10,0.03329895291010695,0.999422526108589,0.03
88,200,10,false,0.03198723533910766,0.00040608237742032334,0.0024599664752192577,0.0003305755721728085,0.9987123279394587,false,false,0.8499601892800694,0.012838522198546209,10,0.027860541259511148,0.9981780732338696,1.0258291693934696,0.010921479274383411,10,0.033317396679707886,0.9990940396333179,0.03
