particle,track_length,n_disp,D_weak,D_stderr_weak,sigma_normal_weak,sigma_stderr_normal_weak,D_bayes,D_stderr_bayes,sigma_normal_bayes,sigma_stderr_normal_bayes,D_alpha_weak,D_alpha_stderr_weak,sigma_weak,sigma_stderr_weak,alpha_weak,alpha_stderr_weak,D_alpha_bayes,D_alpha_stderr_bayes,sigma_bayes,sigma_stderr_bayes,alpha_bayes,alpha_stderr_bayes,true_D_um2_s_alpha
119,200,199,0.033928628076988945,0.002956961593761265,0.018088719484559396,0.0022781835211817345,0.03132156953771337,0.002899685092836935,0.02158079302626499,0.002021137603609441,0.04499255579141695,0.004511426426918125,0.023175391189052985,0.0019880362039500343,1.1406670897546847,0.0322035311722203,0.04486057175401439,0.004530508778412424,0.023837950607898784,0.0019093010634508127,1.1475503403365488,0.03249901001002853,0.03
345,200,199,0.15778623579515683,0.012645781968924422,0.021422982591695467,0.004979815896613225,0.15552376994420586,0.01257366464561857,0.024113783932407352,0.0029558817908189594,0.19660239117532774,0.01671322752105174,0.028211933437873697,0.004974554310735582,1.0744883543970343,0.025191709323964195,0.17833472513365134,0.014162467172159271,0.024759298763109634,0.003102227661483714,1.0346844651421272,0.023373440530811362,0.15
261,200,199,0.10328616617506367,0.008141540668359412,0.018383776149800215,0.005333103006243589,0.09647973179231015,0.00807685764147753,0.024679546586478668,0.002956186078357922,0.10132228088393509,0.008632405171813726,0.025367452854705364,0.004160284082301395,1.0124761287373238,0.02393672667076535,0.09909812700341691,0.00836839512137745,0.025084712675709445,0.0029427048123239936,1.005997040244207,0.02361974032076314,0.1
18,200,199,0.02008781709322634,0.002342829209453095,0.02420965204847666,0.0018527154389131727,0.01980954683923559,0.002322739747787522,0.02455581321937464,0.0016641108147531641,0.032017092824820854,0.0045794945887378345,0.02838057840323498,0.0015332767138274157,1.2463599583001888,0.04415082790097713,0.029176854603268593,0.004002009656493791,0.027185751172034735,0.0014550208935018,1.191728121183247,0.042523785070162745,0.02
319,200,199,0.15703101564319924,0.012083793169063994,0.026606134555882382,0.0046189030432602154,0.15997653991952257,0.012082217524036237,0.024860482868983118,0.0028912237303226496,0.16939680673430085,0.013752425239450111,0.03406574658340135,0.003969595762444544,1.050374083749921,0.024565775073008056,0.15626390400800605,0.011561576706097462,0.025136066624855118,0.0027857758402616093,0.9956572511703229,0.021938559804132896,0.15
312,200,199,0.18134323356226323,0.013301470481806216,0.010415566833540151,0.00518444081537133,0.17140499623680744,0.01327418203219212,0.023390634532522752,0.00320193108360909,0.21186685605628525,0.016123835232501757,0.017200053560813867,0.005772355985641917,1.0616874334680142,0.02143165268132996,0.21574494086053136,0.01693062874645239,0.024126421983360204,0.0033155769331259834,1.0782345297238691,0.02233347941287278,0.15
332,200,199,0.14633931955549204,0.012177829057342826,0.027026641676279675,0.00460574488722864,0.1501212542120766,0.012335809189468541,0.024959899436092566,0.0029102133848506687,0.16689025838965343,0.016263226551949117,0.03391987749834641,0.004296024226599533,1.058280462163453,0.02943922814650357,0.14983558280675266,0.013376767851472432,0.025134444847840675,0.0029434500020139916,0.9898516202776272,0.02580787411835256,0.15
133,200,199,0.05443850070264209,0.004865078521102163,0.020071042143436864,0.0026898485399331814,0.05131971632491564,0.004770184860007513,0.023227633311048726,0.0020958167303313582,0.07409469228467137,0.008108197014923074,0.0287917178115511,0.0020480805822457506,1.1684843477783748,0.03472739961314353,0.06307645765844044,0.006275356299385339,0.025372259882381978,0.0018605515951255983,1.0889864009303851,0.03126199106967109,0.05
85,200,199,0.03410021790811904,0.002876503761490512,0.019843483280665666,0.002469257183686917,0.031200455503622392,0.0028603057589974643,0.022965109469550778,0.0018697404067784962,0.04940203120624291,0.0053745273070938855,0.025978510475639892,0.001781160646543111,1.171709294943175,0.03731004912157876,0.04043489124962976,0.004111668024803197,0.024484008345910923,0.0016440292946857185,1.0932965890590929,0.03463604625666561,0.03
182,200,199,0.07294387993289925,0.006830500472774427,0.03001231668144813,0.003178682346149004,0.07825246157813595,0.00697876259254588,0.02636472991043364,0.0025915272819965595,0.07383332769805047,0.007117583682490963,0.03184669765458947,0.0031475799236056513,0.995289346856666,0.033100495511048544,0.06533401831702272,0.00557284491550393,0.025087443077594106,0.002661280546902213,0.9170854954896633,0.028172355990782216,0.07
148,200,199,0.044286278582214345,0.004492652401322524,0.02956092267046573,0.002564351441464949,0.04718542594298327,0.004606461551161539,0.027154451710023758,0.002225112108578703,0.061900951519252824,0.007524473195634689,0.03631475764106104,0.002090450517644442,1.1844917092704215,0.03976732582787901,0.05035971924239474,0.005105514769983662,0.028942018566036672,0.0019261152502911636,1.0289058588266875,0.03184276586865481,0.05
123,200,199,0.05631082640475554,0.004693391362490872,0.017635894530377748,0.0031917772181169228,0.05155952290278148,0.004584807463328556,0.022718284767746778,0.002256317562107396,0.07163867490600678,0.007264669963420997,0.027163928533002837,0.0020307826891030334,1.1370337778989144,0.03105474056788904,0.059131891567693266,0.0054819939911043315,0.02426286742269645,0.001877527524279896,1.05477455291605,0.028136606046044954,0.05
314,200,199,0.18153105064765462,0.014388231145877825,0.01804409839495371,0.004171592487887844,0.17722828516258465,0.014291942089322995,0.02287472907064618,0.002662300265512018,0.30622677888511224,0.026791760880985366,0.02857860893187228,0.004090586403738893,1.1736995298098358,0.02290237645814841,0.2804712356110146,0.023238028789031723,0.024470999404634063,0.0027230343108546416,1.1391487877500044,0.021559678069205335,0.15
339,200,199,0.12700889433394352,0.012998067459722512,0.04123073355349479,0.004517048998613042,0.15210763980062975,0.013650440604525915,0.027906322399059134,0.0033246241413772085,0.1226560155620436,0.014892245329451236,0.04320439875065164,0.003948037698264767,0.9858988816032627,0.03548836766863889,0.09968369981068795,0.009710574970652613,0.025589548504860803,0.002893053932206534,0.8530837456235164,0.02721713582923102,0.15
8,200,199,0.018685801566995605,0.002043556385789116,0.025870853527003305,0.0018711019729735785,0.018874148899068473,0.0020571428885922654,0.02563818868367332,0.0017417788772601302,0.018559626229814233,0.002127260924577795,0.02646639021176085,0.0016728459187048648,1.0416503258835743,0.043254097344421205,0.017781316923300112,0.00195964716950155,0.025591774724581236,0.001624346281440689,1.0095633098887378,0.041211746013409045,0.02
356,200,199,0.17474300978869792,0.015775447936174455,0.021593980656226384,0.006257126561718633,0.1703616712577534,0.015557331115389803,0.024944542528188236,0.003225076007681642,0.18635176857037,0.017846536041188285,0.027993825708271032,0.005829344295621274,1.0242971476228264,0.02347609117131788,0.17625184599556554,0.016162365692343084,0.02531809102022333,0.0032933952055107327,1.0029426563077064,0.022237806439067087,0.15
173,200,199,0.036886833700793896,0.003687164744544367,0.028509272854521782,0.002491997034967667,0.038244063798778594,0.0037531761614576116,0.027118928236490123,0.0021826357221175294,0.07540328812008304,0.010066645593809882,0.036145168703813846,0.0021093456199680616,1.3560582541024404,0.04383809567755115,0.05385246171915937,0.006371140909050707,0.031485113756106006,0.0019932024114410404,1.1835961792349532,0.04056498812104725,0.05
288,200,199,0.09472181771371457,0.00790227945119315,0.030494986173538477,0.003980559890094796,0.10094731577387672,0.007991967726056225,0.02621675405325045,0.0029064628252510293,0.09610399069047365,0.00908242575409185,0.034502857757759735,0.0033025518700959405,1.0162762714549252,0.033552576536919954,0.08554054946264102,0.007066075886651341,0.025405529461444615,0.0026931904307793478,0.934815964634299,0.0281982080020729,0.1
247,200,199,0.1172520726361434,0.008646671612748381,0.01703776820660798,0.004492716733001091,0.11154783901834037,0.008520006726995856,0.023398785673472356,0.002839749265967738,0.12957880718122622,0.01057453807639297,0.021668645765502887,0.004143613879772674,1.0275099774137548,0.026397887397122344,0.12904981263507465,0.010572500424524817,0.02409071801748433,0.0028560212740240433,1.0333731854832275,0.02672734973259827,0.1
115,200,199,0.032538844745358765,0.00312524317049891,0.023112929140474886,0.002301915680343037,0.03166382284871704,0.003102274365490468,0.02405827016536856,0.0019861049585667805,0.03509504004642771,0.003681748416158412,0.02546607630417253,0.0020104584547721172,1.0620363790164729,0.035154616518292325,0.0338512142460172,0.0034750200307496776,0.024885461559946552,0.0018833769174819714,1.0432153159981463,0.03423788057856636,0.03
130,200,199,0.05096144580462712,0.0049572181040395645,0.02735784071044734,0.0029267085863336,0.052276647559684704,0.005004540332478741,0.026198984394877334,0.0023895552255138192,0.05384147717028785,0.005611513818590368,0.02992536235921232,0.0025662274900340436,1.0386573364594036,0.03664274877064522,0.04895748748867328,0.004659276754583629,0.02586235520508051,0.0022883331413589385,0.9739428420900901,0.03257482512163179,0.05
255,200,199,0.08581118124678389,0.007555913340448139,0.0313082745734346,0.0037480559678917634,0.09277272894942182,0.00776960798532788,0.026655074558210565,0.0027968796025155274,0.09827033260582747,0.009380241668875439,0.03582650761617829,0.0034197367833339355,1.0569027812818084,0.029729789526980688,0.0862384270294745,0.007164279990551033,0.02630717751960936,0.002658461378126307,0.9588933767756991,0.0251363752340244,0.1
163,200,199,0.05437623593856257,0.004482646920182919,0.02219275221593038,0.002866598076893434,0.05228027082957538,0.004436861585962747,0.024145955218569628,0.0022542522238669857,0.05990697204391988,0.005076230239780783,0.026819930585811877,0.0023904166065015307,1.056196231915818,0.026852791121287467,0.056809315189091866,0.00461396284777299,0.025171938502342034,0.002117499944686397,1.0274045742846258,0.025597834481686954,0.05
76,200,199,0.0362068350548477,0.003145191294571057,0.015870119535472932,0.0025947600353817997,0.03206375433716206,0.00305717605505201,0.021139578181484178,0.0019137487180907256,0.04175618393120886,0.004195297209640774,0.021481295784917604,0.0019175722838400532,1.0990390529807954,0.03253994289368922,0.04216149063263547,0.004326111877629518,0.022999140395136224,0.001782838891856717,1.1181889074427025,0.03359062871710583,0.03
310,200,199,0.1573253423716343,0.01151385474861677,0.015415736310483071,0.005275390426986589,0.1505844146409987,0.01146287985349867,0.023266087662288965,0.0030197247223321313,0.18389894711044497,0.014407370158660684,0.017815823276402423,0.005578464516368427,1.0572303236493563,0.020563025262749113,0.19177876884827438,0.015552517010516104,0.024332566452953737,0.0031555853839667133,1.0816874473203906,0.02135292798369115,0.15
244,200,199,0.12737566976885087,0.009458498230041794,0.018322854261183522,0.006057817403740046,0.11901218915125886,0.009239850240876382,0.02529452578689208,0.0032476542081536774,0.11198518400396633,0.009150078456068016,0.02479456351123914,0.004452162906217531,0.973911116557927,0.025986669958724895,0.10809425049002426,0.008695773755015734,0.024861606367857367,0.0031289708813152517,0.9661113187920064,0.02558096341850241,0.1
61,200,199,0.033808797160455026,0.0029368568295339206,0.01725361527740049,0.0020275058564394573,0.030912532170419005,0.00286951472934744,0.021092694799325656,0.001817391755846812,0.038390252318988814,0.0038750185567472013,0.020948064025542848,0.0018301443375926228,1.103051942943089,0.03187816683587075,0.039541486408228146,0.004113384668271127,0.022731346009549784,0.0017485823955362169,1.129659902032862,0.033083490300737206,0.03
142,200,199,0.052770349454095616,0.0040416450691916,0.013126061372784511,0.0038104763791843863,0.04552360081950185,0.003953113578288422,0.021858837103879734,0.0022765133477365904,0.1276364205999694,0.013441991585853921,0.029859243047897846,0.002133621989511638,1.3707213422740943,0.03160921188265153,0.08959099576289778,0.00853254799524912,0.026326640173403866,0.0018869698058026126,1.2342789050632637,0.029617347049557208,0.05
183,200,199,0.0740342414824569,0.006460919540418671,0.027348818441032156,0.0033952354910071793,0.07593862636631986,0.0064511271501889594,0.025745118452749502,0.0025910980964701687,0.07428450671079982,0.00703334499748693,0.030919710417594826,0.003065858172022996,1.040684640834276,0.02766990277808501,0.06968775251787668,0.006005140737067559,0.02572743467124365,0.002485869942376581,0.9864889836470085,0.02495822519837254,0.07
102,200,199,0.03621847733398408,0.0034431302184649674,0.024105322256370864,0.0023022358463174273,0.03581244008753251,0.003436803721161074,0.02456110939817409,0.0020053550515697696,0.038861115426769836,0.003985613303351326,0.0269289374264279,0.00199390070884453,1.060775966375087,0.03410536374316098,0.03637977178358398,0.0035523517313842817,0.025408390539280807,0.0018822710586073547,1.0224025946523407,0.032084790569330224,0.03
299,200,199,0.10830895701347071,0.00923606217648177,0.024581079772620563,0.004218795514563868,0.10810096864970019,0.009196994752993154,0.024854519129029785,0.0027973516386388137,0.12165597042846449,0.011627573828369361,0.03207995346026534,0.0034009706020567444,1.0690448474170735,0.024635927044459605,0.11114876960984342,0.009599136538297068,0.025279996423962687,0.0026848185516571144,1.0106135733660329,0.022069509484014038,0.1
228,200,199,0.05355439588233171,0.0054408598541150315,0.03361426577787347,0.00308246477932236,0.059413862234006645,0.005637425439386799,0.02889631948203124,0.0025951195323539802,0.05805195832538855,0.006739245266311363,0.037010036299805045,0.002598922934062213,1.0699063566946043,0.03690994614726251,0.047307550027240894,0.0045552995907108505,0.0275546013056674,0.002281028514035133,0.9234010986441211,0.029156914734747574,0.07
