particle,track_length,n_disp,log_bf10,D_mean_median_um2_s,D_mean_lo_um2_s,D_mean_hi_um2_s,eps_median,eps_lo,eps_hi,psi_median_rad,psi_lo_rad,psi_hi_rad,D_par_median_um2_s,D_par_lo_um2_s,D_par_hi_um2_s,D_perp_median_um2_s,D_perp_lo_um2_s,D_perp_hi_um2_s,x_mean_um,y_mean_um
4,7,6,-0.06820665780600166,0.021662330272658285,1.6337697051916515e-8,0.06492703491198269,0.1903402178942571,0.00045855162809995315,0.4901645394719114,1.669003469224669,0.30835163647683317,3.1348153198755235,0.026023548613938605,2.0837589076744602e-8,0.08108991575031765,0.016255926407300468,1.1837805027088425e-8,0.05035485331836413,38.399055352212905,36.110268658086845
13,10,9,0.0276981309868205,0.002772614341744281,7.026693928874771e-10,0.06991372237588026,0.20594101207429674,0.0004405415576565525,0.5531720259475282,1.6150185072864847,0.27201608058109344,3.1414709482802956,0.0034126004914892608,1.02442879651783e-9,0.08687879394044776,0.0019201218456815095,3.809099892571243e-10,0.04655782809196021,23.985736702257974,38.13890437500258
30,8,7,-0.10082521908758224,0.009808056496309666,4.229611649135782e-7,0.022740481785587664,0.18468961056818956,0.000014673049250209047,0.46940983399937514,1.445905863731347,0.14235868852060024,2.9650509382540484,0.011788107250283668,5.510056038816287e-7,0.02818455237564686,0.007376938279150171,2.9491672594552766e-7,0.017518135066560737,19.291991173810203,39.937917797384685
62,10,9,-0.032761536410227166,0.07968979312884047,0.022738275553939404,0.1523362224937745,0.19656798923179106,0.0002872100274305997,0.5002379327813775,0.978973556731536,0.0001095436223155269,2.7250355507431387,0.09671217408023096,0.024562885976541698,0.19558075830310315,0.05902007603895891,0.009572917496200256,0.1140801798073953,27.43275197875384,46.88134029065859
84,8,7,-0.0007346510370815906,0.008398561313537563,5.4369782002964655e-9,0.030880385568326205,0.2092258778061862,0.000013484177299099076,0.553495563612433,1.8554261182731018,0.3184323025645037,3.1386664125668906,0.010332728172337487,5.798299114596806e-9,0.038283698796584054,0.006105522534365564,5.075657285996125e-9,0.022839133227805144,49.204941030139686,29.02095085532756
107,5,4,0.18971425738524061,0.08090498798103776,2.8559263862827437e-6,0.20243449182409579,0.26416297043756737,0.00004935053153806099,0.6197018203938186,1.6004456786347239,0.3238826337635384,2.718945664637054,0.10344792883325593,7.483040674429297e-7,0.2620362149697231,0.054075638435733056,3.8292521720676213e-7,0.14914105380305157,17.6010429985222,6.337431187153583
110,9,8,0.18981743017371855,0.020794950743481866,6.025073496882895e-6,0.04071829373909765,0.25320368351666,0.00010928452741265456,0.5971275774163357,1.5900850411824838,0.33969822798972266,2.7097277685873693,0.026397672154315502,6.407172350135174e-6,0.052661863796867964,0.014135986030433674,4.912779086883939e-6,0.030852425443284683,27.79807605959802,0.6936547900262533
112,5,4,-0.03690347166885388,0.023544489001123017,5.824820709750457e-8,0.06300251380486376,0.1977851465339754,0.000022383513114163445,0.5194278406799897,1.775608913071261,0.17086371498437708,3.050038431069993,0.02858986765301625,6.458422630787917e-8,0.07931391933313901,0.017100370352995928,4.806088665032061e-8,0.048129453607196795,39.36330654244561,2.4306710770678412
118,7,6,0.07828511058848875,0.10532801525081772,0.01591423573125912,0.22178721840827756,0.22006785157176995,0.00020808173986885622,0.5598791917230159,1.5979978363018001,0.443545294322818,2.957691927525052,0.13102672706536914,0.01412967592226999,0.28388386634288393,0.07544710854808973,0.004314957783020796,0.1653590348378526,39.33653487760676,3.860328572100209
121,7,6,0.07202712037583936,0.025838036622819235,0.005488075014221754,0.05742188724982719,0.2230670287989643,0.0004643023756512547,0.5719949328654516,2.2080177995290957,0.3152569319827218,3.130773112022183,0.031979483728782926,0.007344063085216509,0.07436571782441907,0.01864786657835752,0.0017373286216076686,0.04382748552229717,34.75681075621815,4.439842278393889
143,5,4,-0.048147346547040115,0.037918863059349744,0.005191340064825764,0.09475958391085515,0.19371005493070254,0.00006703901948112291,0.515489145087849,1.2430762428968674,0.007127620108309815,2.7029121794341817,0.04557427060883461,0.0062747737408331145,0.12047002099927223,0.027922165540487612,9.877040057632867e-6,0.0699111941977233,8.985480426000104,27.405767929416005
161,5,4,0.011641539899652997,0.013424545104266866,2.4086624874006262e-9,0.04855479639339122,0.20722745265096337,0.00004202472969571595,0.5294731288099603,1.5910006997410382,0.2734956924775253,2.9854688551065687,0.016663377098237023,3.142555564357803e-9,0.06241361926694056,0.009414860376318638,1.6747694104434497e-9,0.03726855741628977,19.724528949377298,17.640437872089414
177,5,4,0.0185975952988926,0.010867588902934525,1.1203829685173317e-9,0.19076932249447515,0.20256755988054925,0.00004745143465969929,0.5411107429853955,1.6997453841639518,0.2806593265512385,3.0881227536291336,0.013496317206562476,1.291945446692149e-9,0.24172070756800934,0.007919060092728945,9.488204903425143e-10,0.14870168628242517,43.00226598346258,42.627737290848565
196,9,8,-0.004929309948565219,0.0028280158270419793,8.239764924981625e-11,0.03981372236998771,0.20526761078637246,0.00008400810507490358,0.5087747073716749,1.530723094431936,0.09490241217637005,2.8273520541260733,0.0035223841348835435,9.677092319883918e-11,0.04938944925704991,0.001953498357717044,6.802437530079332e-11,0.03032339707496318,21.555956523964067,15.876695637282154
198,6,5,0.21990801875038812,0.1298709602398519,0.04300741403711446,0.28567413395553715,0.24545200741515982,0.00037725156927750203,0.61991881138178,2.1017229823759225,0.685842450556681,3.1157512913907923,0.16473502232743734,0.04791894269528185,0.359810077108381,0.09141695723354105,0.009861872362461626,0.20902456869529684,22.567295160314178,37.5851996336222
235,8,7,0.01740505844615825,0.001488148501697022,1.8275563881233051e-9,0.04950447848624602,0.2104986907319097,5.012294218977896e-7,0.5444055223209685,1.652289437690328,0.31936913352204555,3.1288069328849017,0.0018123721672619756,2.39662174922574e-9,0.061141193742153856,0.0010417477545814637,1.25849102702087e-9,0.03460687366958171,15.27904487211549,30.25239645358653
263,8,7,0.14712332885920176,0.04533008857947211,4.773258400287931e-8,0.08740574925289905,0.24580747364430816,0.00011999247080544857,0.589911055279184,1.0666346319087199,0.008157122413606036,2.4786011877547964,0.05617765891265724,5.335131917566337e-8,0.11398927687912004,0.03246137252232617,4.2113848830095247e-8,0.06575962438690942,37.3942961640645,46.82278233849911
295,6,5,0.023310973867886275,0.3456824204183883,0.07108304917024193,0.7557528749756204,0.20349811527537376,0.00002413248378154277,0.5294530170913319,1.7303599582572584,0.28331468577509616,2.851222422224322,0.4273877038501922,0.09683258920779957,0.9665860347911458,0.2561324434953742,0.00014079566733956277,0.5438848937008446,35.99824684159018,21.671581567339263
304,6,5,0.01885495009523197,0.014985861420951617,4.336612444945639e-9,0.07135249821766179,0.2053150722307881,0.000316697915638055,0.5264011512180728,1.553852542863897,0.2184590944814709,3.1102179215574193,0.018903355117440148,4.425613800664253e-9,0.08962432613304193,0.010604511324172134,4.247611089227026e-9,0.05337299208821472,38.445808594852934,36.16784899377557
340,6,5,0.0005143001463814301,0.10360518816914843,0.03012313223879677,0.21651922522526504,0.19823650270768256,0.00005063040864684619,0.5321387510698132,2.0515626343320843,0.4589935929789209,3.1177721137108176,0.12685976803680044,0.037531030082929774,0.2696385026472629,0.07709010912100209,0.011925834164564072,0.17196695656205327,3.758099057001409,27.555608467338217
351,6,5,0.015393726117732598,0.004803766783058839,4.209898599511309e-9,0.06026256167390895,0.2058482611354917,0.0003417418888733202,0.5402258868502539,1.3605405542989133,0.04216453716146378,2.860394640559437,0.006018581236958388,5.394782831976853e-9,0.07426072291475218,0.0033763721786574776,3.0250143670457653e-9,0.04513924482489291,49.16734188009432,36.53774087739244
354,8,7,-0.1326095945624779,0.16979706363259425,0.006162889615277795,0.3511382979711375,0.1788792237134254,0.000017213521485796107,0.46610399318180984,1.789769749383587,0.4016254630088303,3.105798459264449,0.2012427620072874,0.009174672489392523,0.4424687070546114,0.13252998900432394,0.005075841736257719,0.2774091797035482,49.779905372492934,37.83708043240859
380,6,5,-0.11252259197794601,0.14142280193778928,4.907980864416245e-6,0.2984123617027016,0.18746529569025044,0.0001484471176751754,0.4701279221832887,1.3163158450818284,0.000017305276259470847,2.872587018279301,0.17153700405737904,8.446604883926633e-6,0.37726826738948943,0.10815662070270898,1.3693568449058563e-6,0.23860771347834567,14.788676452426001,49.4095635318048
386,8,7,-0.07852169736534265,0.1041016052455518,0.036230334990445784,0.19929188818538934,0.19270024445621212,0.0008075557963584406,0.4923117315624979,0.9855231809447317,0.005483926188518731,2.750510743818415,0.1258269830517266,0.042952775492397115,0.25696003736790674,0.07959381551200381,0.02827176476212975,0.16030368422209176,30.759680909608086,6.527063193540307
442,5,4,-0.023842189383820767,0.016372613155765728,7.948471092310429e-9,0.08650064185896712,0.20801634758583581,0.000021633303633760788,0.5336602742633454,1.690630965652316,0.254421230720924,3.058296811058941,0.020480117271767625,1.2704841324201861e-8,0.10593445989736999,0.011317147924632277,3.1921008604189954e-9,0.06351644599217089,51.496839853946575,37.93731709393727
483,9,8,-0.21015874219263608,0.09286166055061439,0.035086027747831094,0.16389860646120974,0.16542741970204075,0.00015212084885302273,0.41132042940642133,1.9233604781154074,0.237897136798977,3.0679902265937957,0.11009106765709997,0.04016211366402496,0.2062557553485194,0.07390198309079088,0.02396228870416172,0.1354100485354665,43.356833248293334,21.952241204601663
510,6,5,-0.11155697574712775,0.06225028199216542,8.577349682292318e-8,0.13733452950238367,0.18496114956614484,0.00006415473772984687,0.4700881768159536,1.8178253447636243,0.29557979453373173,3.1407646081480394,0.07471811089633153,1.3138864651569814e-7,0.17259051354168686,0.04731410340608514,4.015834713014821e-8,0.10862101270519076,35.891558753824555,22.144832223160662
544,6,5,0.021051155359039342,0.00345655722903075,7.2138286642877e-12,0.0534215360596373,0.21263961557313216,0.000028388408225314636,0.5296938538308718,1.714515625603134,0.23026341016285426,2.99276088121272,0.004293568830578507,7.958728952160512e-12,0.06810761555563531,0.0024164432583853685,6.4689283764148874e-12,0.03780678499300814,14.675769584709611,49.33354484368311
591,9,8,-0.013555240301478477,0.06149289307343845,0.025733897210273,0.10695620661399258,0.2127676096403474,0.00042325186645518004,0.5224382198521947,2.173575878153998,0.5563240140084997,3.140499784306519,0.07568149069622539,0.030533604451076495,0.13914449826797604,0.04601751476796957,0.013594274097935833,0.08693920215596247,37.10585954905045,46.8787478815508
