track_length,true_eps,fitted_eps_median
5,0.0,0.19628821279706876
5,0.0,0.21747947865435857
5,0.0,0.19716751963308993
5,0.0,0.20836604584658408
5,0.0,0.2069482613960585
5,0.0,0.2144901402443838
5,0.0,0.2156960014904799
5,0.0,0.2184227548872595
5,0.0,0.18970367831382828
5,0.0,0.18487378140473246
5,0.0,0.24133434511752141
5,0.0,0.18707841451004514
5,0.0,0.1992701310272817
5,0.0,0.19460282742201596
5,0.0,0.2034290190749034
5,0.0,0.18890528519029195
5,0.0,0.21430736809733214
5,0.0,0.19870276042072849
5,0.0,0.20819089317020686
5,0.0,0.22299421804541264
5,0.0,0.21773965772914883
5,0.0,0.21919119849289548
5,0.0,0.20197043987487423
5,0.0,0.21388031682085265
5,0.0,0.19107310550762754
5,0.0,0.2076723705627398
5,0.0,0.19335383293792896
5,0.0,0.20634927536142167
5,0.0,0.19798555896120096
5,0.0,0.21175160081721622
5,0.0,0.20642447819781046
5,0.0,0.20368052006621418
5,0.0,0.20850877000746243
5,0.0,0.2026275454153177
5,0.0,0.19623469385784084
5,0.0,0.2064867593648885
5,0.0,0.21174355248422672
5,0.0,0.19195798524412275
5,0.0,0.19766846872460864
5,0.0,0.23235079887615734
5,0.0,0.20074544875743733
5,0.0,0.20456109721603266
5,0.0,0.18280378739391176
5,0.0,0.19826882675756163
5,0.0,0.20500782649691338
5,0.0,0.19510749093510643
5,0.0,0.22775252200908258
5,0.0,0.1930434440609075
5,0.0,0.19946530330262668
5,0.0,0.19700342724303338
5,0.0,0.17881859552453194
5,0.0,0.20512361944523705
5,0.0,0.18694038522707906
5,0.0,0.20220419178570648
5,0.0,0.21620767666696047
5,0.0,0.1923104395979987
5,0.0,0.19008271740116664
5,0.0,0.22305945383169729
5,0.0,0.19256756831128788
5,0.0,0.21008480519184963
5,0.0,0.20803699392073893
5,0.0,0.19727393034979246
5,0.0,0.21680596432641486
5,0.0,0.1914720199020036
5,0.0,0.2004598453738025
5,0.0,0.21203252618274152
5,0.0,0.20691803583260704
5,0.0,0.21796492122773015
5,0.0,0.20936132893846388
5,0.0,0.19622775184496113
5,0.0,0.2063504905556972
5,0.0,0.2171779693445638
5,0.0,0.20730848333004948
5,0.0,0.21592501624558996
5,0.0,0.19840782356668782
5,0.0,0.19565551710463985
5,0.0,0.2040519770110915
5,0.0,0.19170857954189074
5,0.0,0.21364689570217804
5,0.0,0.20156985330507135
5,0.0,0.21550316757352284
5,0.0,0.22086086529166848
5,0.0,0.19918546479083687
5,0.0,0.2121957492701413
5,0.0,0.2162505849181918
5,0.0,0.21678277715013555
5,0.0,0.19798743944397423
5,0.0,0.19693194888810106
5,0.0,0.1892710469394219
5,0.0,0.19536614626327614
5,0.0,0.20127877730074478
5,0.0,0.19646058944073197
5,0.0,0.19752618866336003
5,0.0,0.18906536381085978
5,0.0,0.20285111566009897
5,0.0,0.18944438030425176
5,0.0,0.2069218009730976
5,0.0,0.20251970351722198
5,0.0,0.18693521057102408
5,0.0,0.20765739969845537
5,0.2,0.2070607316910924
5,0.2,0.1997153273700672
5,0.2,0.21294305491489035
5,0.2,0.1988537955996711
5,0.2,0.18943252507256156
5,0.2,0.18113009659514917
5,0.2,0.21421180167740073
5,0.2,0.186843668214058
5,0.2,0.2255552449830342
5,0.2,0.18734085323461303
5,0.2,0.21314467113850802
5,0.2,0.2484851725759693
5,0.2,0.20995477598772394
5,0.2,0.2353170311340811
5,0.2,0.2228951426011362
5,0.2,0.2228331998076748
5,0.2,0.19383474406559245
5,0.2,0.19287541335533587
5,0.2,0.2317118059891963
5,0.2,0.2136616949658575
5,0.2,0.24062657190132597
5,0.2,0.1889283465180665
5,0.2,0.20936845048481728
5,0.2,0.23840663885829677
5,0.2,0.19694385211093116
5,0.2,0.2003182570303748
5,0.2,0.2057317843605495
5,0.2,0.1993210938194702
5,0.2,0.2516405488581852
5,0.2,0.2230314272157135
5,0.2,0.2277023382645879
5,0.2,0.203975155495086
5,0.2,0.2276287360386151
5,0.2,0.2271280962149649
5,0.2,0.19422912302133044
5,0.2,0.21912157405118743
5,0.2,0.22132710003349598
5,0.2,0.2160529390249718
5,0.2,0.2140016990233335
5,0.2,0.21842492186247905
