track_length,sigma_regime,n_replicates,median_logbf10,mean_logbf10,frac_moderate_or_above
5,low_sigma,200,-0.008434455642074568,-0.0037414963505391086,0.0
5,high_sigma,200,-0.014021629444116002,-0.011927638497119357,0.0
7,low_sigma,200,-0.016658568004855212,-0.004209437063978516,0.0
7,high_sigma,200,-0.01204063522344967,-0.00406271858710169,0.0
10,low_sigma,200,-0.04203292012542903,-0.016006980650329652,0.0
10,high_sigma,200,-0.05179515482664421,-0.02474232070786984,0.0
