true_eps,M,median_ensemble_logbf10,p10_ensemble_logbf10,p90_ensemble_logbf10
0.0,10,-0.061113136342966,-0.3038257038123234,0.20835033814963633
0.0,30,-0.13728620889583887,-0.5253501343651547,0.22719863394347453
0.0,100,-0.46376480791693897,-1.2222871387493346,0.1375177739030711
0.3,10,-0.014455147637074894,-0.22465461291972022,0.227684902173093
0.3,30,-0.03747307868106642,-0.44909107221019723,0.3478541851515681
0.3,100,-0.1544154179964563,-0.8345999656888702,0.5402157439636444
0.6,10,0.1745115345181789,-0.061520811429739,0.4633152800830006
0.6,30,0.46836026671418907,0.03755868158195224,0.9645740321891848
0.6,100,1.551680362739372,0.8391749047983338,2.331286687021501
0.8,10,0.34878818635280595,0.14479989465751295,0.596516683797185
0.8,30,1.0698010831940596,0.6625746945180916,1.5236320917776074
0.8,100,3.6904870331858115,2.9843491327096823,4.388333342856649
