track_id,t,x,y
0,28,741.2761840820312,221.4064483642578
0,29,741.3611450195312,221.3331298828125
1,13,532.5503540039062,154.05918884277344
1,14,532.8653564453125,153.92222595214844
2,41,290.203125,668.4124755859375
2,42,290.44097900390625,668.2464599609375
3,11,878.5597534179688,527.6142578125
3,12,878.85400390625,527.0121459960938
4,43,120.42111206054688,472.2709045410156
4,44,120.35411071777344,471.7129821777344
5,30,32.37398147583008,127.07386016845703
5,31,32.16384506225586,127.4026870727539
5,32,32.878414154052734,127.90145111083984
6,16,872.8257446289062,704.2735595703125
6,17,873.2694702148438,703.97705078125
7,40,703.1339721679688,614.266357421875
7,41,702.7003784179688,613.9434814453125
8,40,542.648681640625,118.3284683227539
8,41,542.8140869140625,118.84355163574219
9,40,258.0068664550781,41.904212951660156
9,41,257.6936950683594,42.343936920166016
10,24,183.17465209960938,457.5037841796875
10,25,182.63601684570312,457.4557800292969
10,26,181.8499755859375,458.31890869140625
10,28,181.51930236816406,457.8212585449219
11,2,413.3899841308594,463.9234924316406
11,3,413.3323669433594,464.3227233886719
12,24,609.71630859375,171.01878356933594
12,25,609.7975463867188,171.0036163330078
13,36,632.6995849609375,522.0611572265625
13,37,633.3714599609375,521.9207763671875
13,38,632.4054565429688,521.7765502929688
13,40,631.8851928710938,521.3413696289062
14,10,891.5596923828125,736.6192016601562
14,11,891.2491455078125,736.1111450195312
14,13,892.2117919921875,736.5226440429688
14,15,892.4900512695312,736.115234375
14,17,892.8281860351562,736.6976318359375
14,18,892.7257690429688,737.2633056640625
15,23,615.2821044921875,157.3739776611328
15,24,615.5877685546875,157.4349822998047
16,9,723.8885498046875,366.26470947265625
16,10,723.9385375976562,365.8374938964844
17,35,632.2203369140625,693.4356079101562
17,36,632.5576782226562,693.5847778320312
17,37,632.9669799804688,694.4268188476562
18,44,783.800048828125,486.14788818359375
18,45,783.6715087890625,486.601806640625
18,47,782.6994018554688,485.9880676269531
18,48,782.1453857421875,486.8109436035156
19,27,723.97998046875,784.796142578125
19,28,724.5316162109375,784.5697021484375
20,7,377.8710632324219,831.873046875
20,8,377.1163330078125,832.4481811523438
20,10,377.1432800292969,832.2520751953125
20,11,376.9715881347656,832.396728515625
20,12,376.8375549316406,832.8901977539062
20,13,376.66094970703125,833.0392456054688
20,14,376.5714416503906,832.9312744140625
20,16,376.9255065917969,832.8253784179688
20,17,376.6777648925781,832.5035400390625
20,18,376.99664306640625,832.3656616210938
20,19,376.7978820800781,832.672607421875
20,20,376.466552734375,832.7125854492188
20,21,377.28863525390625,833.1556396484375
20,22,377.0107421875,833.223876953125
20,23,377.0897521972656,833.30224609375
20,24,376.77996826171875,833.1438598632812
20,25,376.9701232910156,833.1443481445312
20,26,376.6368713378906,833.206298828125
20,27,376.24432373046875,832.9335327148438
20,28,376.3053283691406,833.0997314453125
20,29,376.6422424316406,833.0823974609375
20,30,376.98046875,832.8190307617188
20,31,377.2075500488281,832.6431274414062
20,32,377.44775390625,831.7938842773438
20,33,376.49267578125,832.275390625
20,34,377.08221435546875,832.4041137695312
20,36,376.62786865234375,832.3187255859375
20,38,376.3224182128906,832.440185546875
20,39,376.5542297363281,831.872314453125
20,40,377.024169921875,832.5136108398438
20,41,376.916259765625,832.5230102539062
20,42,376.35186767578125,832.5523071289062
20,43,376.38226318359375,832.6959228515625
20,44,375.9918212890625,832.7234497070312
20,45,376.07666015625,832.5652465820312
21,20,436.47161865234375,101.17455291748047
21,21,436.8536376953125,101.10928344726562
21,22,437.24462890625,101.52957153320312
22,45,239.46646118164062,577.3151245117188
22,46,239.79367065429688,577.3344116210938
22,47,239.53054809570312,576.7512817382812
23,13,893.6371459960938,730.0789184570312
23,14,893.47607421875,731.0005493164062
24,5,253.63197326660156,694.2557983398438
24,6,253.0984649658203,694.6547241210938
24,7,253.4764404296875,695.142578125
24,8,253.08241271972656,694.922607421875
24,9,253.55685424804688,694.1663208007812
24,11,253.56002807617188,694.7699584960938
25,32,606.2207641601562,1121.260498046875
25,33,606.0074462890625,1121.0296630859375
26,47,863.808349609375,852.5553588867188
26,48,863.8836669921875,852.5535888671875
27,44,899.2599487304688,1518.5595703125
27,45,899.85791015625,1517.7562255859375
27,47,899.3829345703125,1516.872314453125
27,48,899.6410522460938,1516.796142578125
28,24,706.7167358398438,607.178466796875
28,25,706.8887939453125,607.4502563476562
29,46,865.6234130859375,510.680419921875
29,47,865.7045288085938,510.59912109375
30,38,510.87579345703125,395.1349182128906
30,39,511.306396484375,395.28778076171875
30,40,512.1331787109375,395.72357177734375
31,47,1013.1031494140625,902.500244140625
31,48,1013.0073852539062,902.6724243164062
32,45,678.0292358398438,435.1337585449219
32,46,677.9974365234375,435.0835876464844
32,47,677.9415893554688,435.35693359375
32,48,678.387451171875,435.23345947265625
33,47,1013.0989379882812,1261.42724609375
33,48,1013.1115112304688,1261.51318359375
34,1,639.0481567382812,270.75439453125
34,2,638.8863525390625,270.51959228515625
35,42,718.4735107421875,199.7138214111328
35,43,718.362060546875,199.90155029296875
35,44,718.6595458984375,199.453369140625
35,45,718.6717529296875,199.88433837890625
35,47,718.5594482421875,199.88209533691406
35,48,718.5285034179688,199.60865783691406
36,46,982.8472900390625,1173.1033935546875
36,47,982.9857788085938,1173.0633544921875
37,6,1016.947509765625,1049.3760986328125
37,7,1016.7786254882812,1048.86279296875
38,45,846.8758544921875,732.3482055664062
38,46,846.9957885742188,732.1826171875
39,40,783.3439331054688,486.4473571777344
39,41,783.2013549804688,486.48638916015625
40,42,550.3733520507812,298.3402099609375
40,43,550.2788696289062,298.3895568847656
40,44,550.7599487304688,298.4166564941406
40,45,550.79541015625,299.6534423828125
41,42,975.1957397460938,1115.4769287109375
41,43,975.1757202148438,1115.7081298828125
41,44,974.9990844726562,1115.8131103515625
42,47,497.1959533691406,365.4159240722656
42,48,497.15576171875,365.347412109375
43,44,664.8837890625,602.2277221679688
43,45,665.0048828125,602.0234375
44,22,970.1873168945312,1331.3919677734375
44,23,970.2811279296875,1330.5225830078125
45,43,571.0032348632812,565.7557373046875
45,44,571.0853271484375,565.9818115234375
45,45,571.08642578125,566.8143920898438
45,47,571.0884399414062,567.060302734375
46,27,391.85577392578125,499.50396728515625
46,28,391.85260009765625,499.3456726074219
47,41,520.2347412109375,913.1513061523438
47,42,520.3245849609375,913.1203002929688
47,43,520.5579223632812,913.3109130859375
48,40,931.268798828125,1330.3504638671875
48,41,931.3380737304688,1330.4161376953125
49,39,877.387451171875,457.41412353515625
49,40,877.4534912109375,457.2603759765625
49,41,877.1341552734375,457.7268981933594
49,42,877.2302856445312,457.5732727050781
49,44,877.4212646484375,457.7652587890625
49,45,877.2496337890625,457.7457580566406
50,47,657.0521850585938,247.28460693359375
50,48,657.4210815429688,247.2095184326172
51,41,936.1587524414062,731.8892822265625
51,42,936.3071899414062,731.7393188476562
52,40,515.7308959960938,837.9423828125
52,41,515.8925170898438,837.914794921875
52,42,515.6206665039062,837.9176635742188
